bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
Hood Canal Floating Bridge (William A. Bugge Bridge),WA,1979,extreme_weather,"Hood Canal Floating Bridge (William A. Bugge Bridge) North End of Hood Canal, Washington",1978,no,,0,0.0,,Scraped from Wikipedia. Original cause: Blown pontoon hatches combined with extreme windstorm
Sunshine Skyway Bridge,FL,1980,collision,"Sunshine Skyway Bridge near St. Petersburg, Florida",1979,no,,35,1.0,,"Scraped from Wikipedia. Original cause: The freighter Summit Venture struck the bridge during a storm, causing the center section of the southbound span to collapse into Tampa Bay"
Tompkins Hill Road overpass,CA,1980,extreme_weather,"Tompkins Hill Road overpass Humboldt County, California",1979,no,,0,6.0,,Scraped from Wikipedia. Original cause: Earthquake caused two spans to slip off supporting columns
Hyatt Regency walkway collapse,KS,1981,fracture_critical,"Hyatt Regency walkway collapse Kansas City, Missouri",1980,no,,114,200.0,,Scraped from Wikipedia. Original cause: Erroneous redesign of supporting member during construction when original design considered too difficult to construct
Cline Avenue over the Indiana Harbor and Ship Canal and surrounding heavy industry,IN,1982,fracture_critical,"Cline Avenue over the Indiana Harbor and Ship Canal and surrounding heavy industry East Chicago, Indiana",1981,no,,14,16.0,,"Scraped from Wikipedia. Original cause: 1,200 feet (370 m) of the bridge collapsed during construction when a concrete pad supporting shoring towers developed cracks."
Mianus River Bridge,CT,1983,deterioration,"Mianus River Bridge Greenwich, Connecticut",1982,no,,3,3.0,,Scraped from Wikipedia. Original cause: Metal corrosion and fatigue/Deferred maintenance
"U.S. Highway 36, the Boulder Turnpike, near MP 12.5",CO,1985,collision,"U.S. Highway 36, the Boulder Turnpike, near MP 12.5 Westminster, Colorado",1984,no,,5,,,Scraped from Wikipedia. Original cause: Head-on Train Collision
"Stebbins Rd. Bridge (NY State Rt 90, not to be confused with Interstate 90)",NY,1986,overload,"Stebbins Rd. Bridge (NY State Rt 90, not to be confused with Interstate 90) Hanover, NY",1985,no,,1,3.0,,Scraped from Wikipedia. Original cause: Likely overloaded
Schoharie Creek Bridge,NY,1987,scour,New York State Thruway Schoharie Creek,1986,no,,10,0.0,,pre_1996_no_ascii_archive;only_scour_example_but_unusable
Schoharie Creek Bridge collapse Thruway Bridge,NY,1987,scour,"Schoharie Creek Bridge collapse Thruway Bridge Fort Hunter, New York",1986,no,,10,,,Scraped from Wikipedia. Original cause: Improper protection of footings by contractor led to scour of riverbed under footings.
Schoharie Creek's Mill Point Bridge,NY,1987,scour,"Schoharie Creek's Mill Point Bridge Wellsville, Amsterdam, New York",1986,no,,0,0.0,,Scraped from Wikipedia. Original cause: Flooding
Cypress Street Viaduct,CA,1989,extreme_weather,"Cypress Street Viaduct Oakland, California",1988,no,,42,,,Scraped from Wikipedia. Original cause: Destroyed in Loma Prieta earthquake
San Francisco–Oakland Bay Bridge,CA,1989,extreme_weather,"San Francisco–Oakland Bay Bridge connects San Francisco and Oakland, California",1988,no,,1,,,Scraped from Wikipedia. Original cause: 50-foot (15 m) section of the upper deck and lower deck collapsed in Loma Prieta earthquake
Swinging Bridge,AR,1989,misc,"Swinging Bridge Heber Springs, Arkansas",1988,no,,5,,,Scraped from Wikipedia. Original cause: Destroyed by pedestrians swinging the bridge
Tennessee Hatchie River Bridge,TN,1989,deterioration,"Tennessee Hatchie River Bridge Between Covington, Tennessee and Henning, Tennessee",1988,no,,8,,,"Scraped from Wikipedia. Original cause: Shifting river channel, deterioration of foundation timber piles"
Lacey V. Murrow Memorial Bridge,WA,1990,scour,"Lacey V. Murrow Memorial Bridge Connects Seattle and Mercer Island, Washington",1989,no,,0,0.0,,Scraped from Wikipedia. Original cause: Heavy flooding of pontoons
BIN 10085,NY,1993,scour,SR 355 in Frederick Co Monocacy River,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1068010,NY,1993,scour,"NY481 Town of Clay, Onondaga Co Mud Creek",1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1159,NY,1993,scour,Jackson County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2070,NY,1993,scour,SR 450 in Anne Arundel Co Severn River,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 36-28,NY,1993,scour,Pendleton Co. Teter Run,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 51-8/4,NY,1993,scour,Webster County L. Fork of Holly R,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 72527,NY,1993,scour,Sibley County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN C2805,NY,1993,scour,I 30 Otter Creek,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L1737,NY,1993,scour,Lyon County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L2014,NY,1993,scour,Lincoln County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L2029,NY,1993,scour,Lincoln County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L2096,NY,1993,scour,Lincoln County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L2390,NY,1993,scour,Lesueur County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L2544,NY,1993,scour,Nobles County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L2704,NY,1993,scour,Sibley County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L3627,NY,1993,scour,Pipestone County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L6674,NY,1993,scour,Traverse County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L6806,NY,1993,scour,Redwood County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN L6808,NY,1993,scour,Redwood County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN RO122,NY,1993,scour,Lyon County nan,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN W-0714,NY,1993,scour,Fruit Tree Rd in Washington Co Raven Rock Run,1992,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Big Bayou Canot Bridge,AL,1993,collision,CSX railroad bridge Mobile Alabama,1992,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1992.cfm,47,103.0,,pre_1996_no_ascii_archive
CSXT Big Bayou Canot rail bridge,AL,1993,collision,"CSXT Big Bayou Canot rail bridge near Mobile, Alabama",1992,no,,47,103.0,,"Scraped from Wikipedia. Original cause: Barge towboat, struck pier in fog; span shifted so next train derailed; impact of derailment destroyed span"
Claiborne Avenue Bridge,LA,1993,collision,"Claiborne Avenue Bridge 9th Ward, New Orleans, Louisiana",1992,no,,1,2.0,,Scraped from Wikipedia. Original cause: Barge collision
Temporary bridge,NH,1993,misc,"Temporary bridge Hopkinton, New Hampshire",1992,no,,0,1.0,,Scraped from Wikipedia. Original cause: Collapsed while being dismantled
BIN 1016190,NY,1994,scour,20 A 20A42031057 Beards Creek,1993,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1049381,NY,1994,scour,Sagtikos State Parkway Long Island Expwy,1993,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2217440,NY,1994,scour,Stowell Road Glendenning Creek,1993,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3346460,NY,1994,scour,Sheely Road Sundown Creek,1993,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 49-SR019-06.45,NY,1994,scour,SR 19 Mississippi River,1993,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN C3038,NY,1994,scour,Mabelvale West I 30,1993,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Newhall Pass Interchange,CA,1994,extreme_weather,"Newhall Pass Interchange Newhall, Santa Clarita, California",1993,no,,1,,,Scraped from Wikipedia. Original cause: 1994 Northridge Earthquake
BIN 08-17,NY,1995,scour,Clay Co. Sycamore Creek,1994,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 12291,NY,1995,scour,CR 33 Big Creek,1994,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 18-87,NY,1995,scour,Jackson Co. (Mt. Alto) Little Mill Creek,1994,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 18907,NY,1995,scour,CR 134 Adamson Creek,1994,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3330,NY,1995,scour,"South Bridge, Auburn-Lewiston Androscoggin River",1994,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 36-SR114-03.23,NY,1995,scour,SR 114 Tennessee River,1994,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
I-5 Bridge Disaster,CA,1995,deterioration,"I-5 Bridge Disaster Coalinga, California",1994,no,,7,0.0,,Scraped from Wikipedia. Original cause: Structural failure — support piers collapsed
BIN 05/04,NY,1996,scour,"Deneen Road, Washington County Trib. Potomac River",1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 05/15,NY,1996,scour,"Weller Road, Washington County Trib. Licking Creek",1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1043,NY,1996,scour,SR 47 Allegany County North Creek,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1061800,NY,1996,scour,Peck Road NY 690,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 12/320,NY,1996,scour,Naches River Bridge Naches River,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 14-03,NY,1996,scour,Hampshire Co. Branch Lt. Cacapon R,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 14-08,NY,1996,scour,Hampshire Co. Mill Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 14-13,NY,1996,scour,Hampshire Co. Old Man Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 14-220,NY,1996,scour,Hampshire Co. Mill Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 14/07,NY,1996,scour,"Welty Church Road, Washington Co Little Antietam Crk",1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 16-20,NY,1996,scour,Hardy Co. Upper Cove Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2187,NY,1996,scour,Norridgewock - Covered Br. Kennebec River,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2227010,NY,1996,scour,Van Benschoten Road Plattekill,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2267400,NY,1996,scour,Vanderpool Road Prospect Valley Crk,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 29-02,NY,1996,scour,Mineral Co. Abram Creek,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 29-42,NY,1996,scour,Mineral Co. Deep Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3201320,NY,1996,scour,Long Road West Kill Creek,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 33-07,NY,1996,scour,Morgan Co. Cacapon River,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3302320,NY,1996,scour,Ormsby Road Gulf Brook,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3302610,NY,1996,scour,Spear Road Bogurt River,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3332010,NY,1996,scour,Burch Hill Road Catherine Creek,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3351750,NY,1996,scour,Cr1 Tremperkill Road Tremperkill,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3353060,NY,1996,scour,Flair Street E. Branch Deleware R,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3356640,NY,1996,scour,TH 43 Sipple Road Hankins Creek,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3356660,NY,1996,scour,TH59 Acid Factory Pea Brook,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 38-12,NY,1996,scour,Pocahontas Co. Greenbrier River,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 39-86,NY,1996,scour,Preston Co. Spruce Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 42-39,NY,1996,scour,Randolph Co. Shavers Run,1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN A-0031,NY,1996,scour,"Beachwood Road, Allegany County Koonz Run",1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN CL-0342,NY,1996,scour,"Newport Road, Carroll County Gillis Falls",1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN G-0048,NY,1996,scour,"Savage River Road, Garrett Cty. Savage River",1995,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Walnut Street Bridge,PA,1996,scour,Harrisburg Pennsylvania Susquehanna River,1995,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1995.cfm,0,0.0,,1996_blizzard_flood_ice;prefailure_year_still_pre_1996_cutoff_verify
BIN 04-16,NY,1997,scour,Braxton Co. Fk of Lt. Kanawha Rv,1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 118BR15,NY,1997,scour,Montgomery nan,1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 165/10,NY,1997,scour,Carbon River Bridge Carbon River,1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1671,NY,1997,scour,N.M. 18 Rio Grande,1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3332120,NY,1997,scour,Hall Road Hooker Creek,1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 5512179,NY,1997,scour,I-87 Central Ave.,1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA36-80,NY,1997,scour,"Denmark Road, Lafayette Co. Little Kettle Ck",1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA36080,NY,1997,scour,"Denmark Road, Lafayette Co. Little Kettle Cr.",1996,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 09-25,NY,1998,scour,Dodridge Co. Meathouse Fork,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1058509,NY,1998,scour,"Wantagh Parkway, Nassau Co. Goose Creek",1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 11-15,NY,1998,scour,Gilmer Co. Grass Run,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 116BR10,NY,1998,scour,Bristol nan,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 156,NY,1998,scour,Burke County I-40,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 17-04,NY,1998,scour,Harrison Co. Bingham Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 18-21,NY,1998,scour,Jackson Co. (Lockhart Fork) Lt. Fork Sandy Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 20-57,NY,1998,scour,Kanawha Co. Blue Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2218880,NY,1998,scour,Town of Spencer - Hart Road Sulphur Spring Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2219830,NY,1998,scour,Buel Road E. Br. Deer Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 31-76,NY,1998,scour,Monogalia Co. Booths Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3335900,NY,1998,scour,Dashnaw Road Little Ausable River,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3335950,NY,1998,scour,CR 39 Clintonville Road Little Ausable River,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3337430,NY,1998,scour,WPA Road W. Br. Deer Creek,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3367390,NY,1998,scour,Springville-Boston Road Spring Brook,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 53-53,NY,1998,scour,Wirt Co. (Parrish Fork) Parrish Fork,1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA69-84,NY,1998,scour,"Hogfoot Road, Tate Co. Hoover Branch",1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA69084,NY,1998,scour,"Hogfoot Raod, Tate Co. Hoover Branch",1997,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1006720,NY,1999,scour,"Pedestrain Bridge, Saratoga Co. Route 9N",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 101/214,NY,1999,scour,Nolan Creek Bridge Nolan Creek,1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1091550,NY,1999,scour,Route 340 Sparkill Creek,1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3117,NY,1999,scour,"Pederstrain Bridge, Baltimore Co I-695",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3305130,NY,1999,scour,"County Home Br. Rd., Warren Co. Schroon River",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 49B08,NY,1999,scour,N. Main St.in Heppner Hinton Creek,1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 5513810,NY,1999,scour,Lincoln Park Pedestrain Bridge Route 100,1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 8584,NY,1999,scour,Chavez Co. Road nan,1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA15-187,NY,1999,scour,"Rockport Road, Copiah Co. Pearl River",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA15187,NY,1999,scour,"Rockport Road, Copiah Co. Pearl River",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA27-6,NY,1999,scour,"FAS 1636, Humphreys Co. Panther Creek",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA27006,NY,1999,scour,"FAS 1636, Humphreys Co. Panther Cr.",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA32-56,NY,1999,scour,"Goza Road, Jefferson Co. Mason Branch",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA32056,NY,1999,scour,"Goza Road, Jefferson Co. Mason Branch",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA64-144,NY,1999,scour,"Strong River Road, Simpson Co. Strong River",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA64144,NY,1999,scour,"Strong River Road, Simpson Co. Strong River",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA66-33,NY,1999,scour,"Old Highway 26, Stone Co. Kirby Creek",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN SA66033,NY,1999,scour,"Old Highway 26, Stone Co. Kirby Creek",1998,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Maiden Choice Footbridge,MD,1999,collision,"Maiden Choice Footbridge Arbutus, Baltimore County, Maryland",1998,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1998.cfm,1,6.0,,Scraped from Wikipedia. Original cause: Collision with overheight road vehicle.[49][50]
BIN 100833,NY,2000,scour,I-81 (SB) NY 11,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1008332,NY,2000,scour,I-81 NB NY 11,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1012999,NY,2000,scour,Route 26 Route 434,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1053711,NY,2000,scour,"Route 690 SB, Onondaga Co. Route 370",1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1070790,NY,2000,scour,Town Line Road I-390 SB,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2222280,NY,2000,scour,"Van Deusen Road, Columbia Co. Loomis Creek",1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3340080,NY,2000,scour,"Co Rte 19, East Road - Lewis Co. S.B. Negre Crrek",1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3352500,NY,2000,scour,Basin Clove Road W Br. Delaware River,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3357400,NY,2000,scour,TH48 Tusten Road Ten Mile River,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 4310090,NY,2000,scour,"Co rte 27, Montgomery Co. Barge Canal",1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 4443820,NY,2000,scour,Moore Road I-390 EB,1999,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
Charlotte Motor Speedway pedestrian bridge,NC,2000,overload,Charlotte North Carolina US Route 29,1999,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1999.cfm,0,107.0,,partial_collapse_beam_weakness
Charlotte Motor Speedway pedestrian bridge over U.S. Route 29,NC,2000,misc,"Charlotte Motor Speedway pedestrian bridge over U.S. Route 29 Charlotte, North Carolina",1999,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1999.cfm,0,107.0,,Scraped from Wikipedia. Original cause: Beam weakness and other unspecified reasons.
Hoan Bridge,WI,2000,fracture_critical,"Hoan Bridge Milwaukee, Wisconsin",1999,yes,https://www.fhwa.dot.gov/bridge/nbi/ascii1999.cfm,0,0.0,,Scraped from Wikipedia. Original cause: Northbound right lane began to buckle during the morning rush hour and sagged a few feet from violent failure of cross bracing members caused by extremely high stress concentrations in triaxial welds.
BIN 1007632,NY,2001,scour,NY 17 NY 10,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1020662,NY,2001,scour,Route 29 I-87 NB,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 1027530,NY,2001,scour,Route 58 WB Oswegatchie River,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2020410,NY,2001,scour,Route 28A Bushkill Creek,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2261160,NY,2001,scour,"Sagg Road, Suffolk L. I. R.R. Montauk B",2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 2269290,NY,2001,scour,Leon McGlashan Road Batavia Kill,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 30-A622-2.01,NY,2001,scour,Shelton Mission Rd Greene Co. Dry Creek,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
BIN 3331810,NY,2001,scour,Langdon Hill Road Newtown Creek,2000,yes,,0,0.0,0.0,Ingested from NYDOT/Scour Database
